skill_name	display_name	source	location	enabled_xiaoxue	enabled_office	enabled_report	enabled_tender	enabled_contract	enabled_knowledge	enabled_document	health	encoding	business_domain	primary_task	trigger_summary	not_trigger_summary	tools_used	knowledge_dependencies	skill_dependencies	overlap_with	trigger_conflict_with	unique_capability	business_frequency	business_criticality	uniqueness	maintenance_cost	priority_score	recommended_level	recommended_action	reason	merge_into
supervision-standard-lookup	监督标准速查	.opencode/skills/supervision-standard-lookup	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	监督	标准速查	监督检查标准条款速查	非通用检索	read	knowledge/standards	-	geology-knowledge（域不同）	-	条款级标准速查	1	2	5	2	2.4	L2	KEEP_OPTIONAL	独立价值，但当前未启用；建议并入 geology-knowledge 的子能力	-
well-control-risk-assessment	井控风险评估	.opencode/skills/well-control-risk-assessment	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	utf8	现场/安全	井控风险	Assess well control and mud logging safety risks	非实时 WITS 控制	read	-	-	-	-	井控风险评估	2	3	4	3	3.0	L2	KEEP_OPTIONAL	与 identity.yaml 排除的"井控实时预警"边界清晰；可作为未来现场类入口，但 MVP 阶段无 WITS 数据接入	-
标杆对比	IT 标杆对比	.opencode/skills/标杆对比	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 选型对比	石油行业信息化项目技术方案与供应商对比	非业务 Skill	read, write	-	-	office-assistant	-	IT 选型专用	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	石油 IT 信息化项目专用，与录井小雪主营业务的"地质录井"差异较大	-
技术选型评审	IT 技术选型评审	.opencode/skills/技术选型评审	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 技术选型	石油行业信息化项目技术选型评审	非业务 Skill	read, write	-	-	标杆对比	-	IT 选型评审	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
立项报告	IT 立项报告	.opencode/skills/立项报告	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 立项	石油行业信息化项目立项报告生成	非业务 Skill	read, write	-	-	office-assistant 项目申报任务	-	IT 立项文档	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
写报告	IT 写报告	.opencode/skills/写报告	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 报告	石油行业信息化项目报告生成	非业务 Skill	read, write	-	-	office-assistant	-	IT 报告	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
桌面调研	IT 桌面调研	.opencode/skills/桌面调研	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 调研	石油行业信息化桌面调研	非业务 Skill	read, write, webfetch	-	-	deep-research	-	IT 桌面调研	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
方案框架	IT 方案框架	.opencode/skills/方案框架	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 方案框架	石油行业信息化项目方案骨架	非业务 Skill	read, write	-	-	office-assistant 技术方案任务	-	IT 方案骨架	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
项目周报	IT 项目周报	.opencode/skills/项目周报	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 周报	石油行业信息化项目周报生成	非业务 Skill	read, write	-	-	office-assistant	-	IT 周报	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
领导汇报	IT 领导汇报	.opencode/skills/领导汇报	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 领导汇报	石油行业信息化项目领导汇报材料	非业务 Skill	read, write	-	-	office-assistant 工作汇报任务	-	IT 领导汇报	1	2	5	2	2.4	L4	DISABLE_ARCHIVE	同上	-
信息化建设工具箱	IT 信息化工具箱	.opencode/skills/信息化建设工具箱	SKILL.md	deny	deny	deny	deny	deny	deny	deny	OK	gbk	信息化项目	IT 内部知识库	石油行业信息化标准/规范/模板索引（内部知识库）	非用户 Skill	read	knowledge/templates	-	-	-	信息化标准内部知识库	1	1	5	1	1.9	FOUNDATION	FOUNDATION	内部知识库底座，本身已声明"不对用户直接展示"	-
